group_id,paths
0,data/standardized_jpg/adm/train/nature/000152.jpg|data/standardized_jpg/adm/train/nature/001462.jpg|data/standardized_jpg/adm/train/nature/000973.jpg|data/standardized_jpg/adm/train/nature/000801.jpg|data/standardized_jpg/adm/train/nature/000544.jpg|data/standardized_jpg/adm/train/nature/001908.jpg|data/standardized_jpg/adm/train/nature/000155.jpg|data/standardized_jpg/adm/train/nature/000817.jpg|data/standardized_jpg/adm/train/nature/001213.jpg|data/standardized_jpg/adm/train/nature/001818.jpg|data/standardized_jpg/adm/train/nature/000871.jpg|data/standardized_jpg/adm/train/nature/001749.jpg|data/standardized_jpg/adm/train/nature/001956.jpg|data/standardized_jpg/adm/train/nature/001583.jpg|data/standardized_jpg/adm/train/nature/000461.jpg|data/standardized_jpg/adm/train/nature/000516.jpg|data/standardized_jpg/adm/train/nature/001963.jpg|data/standardized_jpg/adm/train/nature/001817.jpg|data/standardized_jpg/adm/train/nature/001424.jpg|data/standardized_jpg/adm/train/nature/001342.jpg|data/standardized_jpg/adm/train/nature/000173.jpg|data/standardized_jpg/adm/train/nature/001683.jpg|data/standardized_jpg/adm/train/nature/001668.jpg|data/standardized_jpg/adm/train/nature/000819.jpg|data/standardized_jpg/adm/train/nature/001455.jpg|data/standardized_jpg/adm/train/nature/001509.jpg|data/standardized_jpg/adm/train/nature/001535.jpg|data/standardized_jpg/adm/train/nature/000388.jpg|data/standardized_jpg/adm/train/nature/001653.jpg|data/standardized_jpg/adm/train/nature/001135.jpg|data/standardized_jpg/adm/train/nature/001889.jpg|data/standardized_jpg/adm/train/ai/001259.jpg|data/standardized_jpg/adm/train/ai/000145.jpg|data/standardized_jpg/adm/train/ai/000540.jpg|data/standardized_jpg/adm/train/ai/001115.jpg|data/standardized_jpg/adm/train/ai/001103.jpg|data/standardized_jpg/adm/train/ai/000976.jpg|data/standardized_jpg/adm/train/ai/001102.jpg|data/standardized_jpg/adm/train/ai/001428.jpg|data/standardized_jpg/adm/train/ai/000872.jpg|data/standardized_jpg/adm/train/ai/000899.jpg|data/standardized_jpg/adm/train/ai/001205.jpg|data/standardized_jpg/adm/train/ai/000094.jpg|data/standardized_jpg/adm/train/ai/001638.jpg|data/standardized_jpg/adm/train/ai/000069.jpg|data/standardized_jpg/adm/train/ai/000109.jpg|data/standardized_jpg/adm/train/ai/001024.jpg|data/standardized_jpg/adm/train/ai/001810.jpg|data/standardized_jpg/adm/train/ai/001958.jpg|data/standardized_jpg/adm/train/ai/001379.jpg|data/standardized_jpg/adm/train/ai/000664.jpg|data/standardized_jpg/adm/train/ai/000665.jpg|data/standardized_jpg/adm/train/ai/001961.jpg|data/standardized_jpg/adm/train/ai/001508.jpg|data/standardized_jpg/adm/train/ai/000954.jpg|data/standardized_jpg/adm/train/ai/000982.jpg|data/standardized_jpg/adm/train/ai/000014.jpg|data/standardized_jpg/adm/val/nature/000168.jpg|data/standardized_jpg/adm/val/nature/000008.jpg|data/standardized_jpg/adm/val/nature/000355.jpg|data/standardized_jpg/adm/val/nature/000050.jpg|data/standardized_jpg/adm/val/nature/000483.jpg|data/standardized_jpg/adm/val/nature/000456.jpg|data/standardized_jpg/adm/val/nature/000245.jpg|data/standardized_jpg/adm/val/nature/000282.jpg|data/standardized_jpg/adm/val/nature/000081.jpg|data/standardized_jpg/adm/val/nature/000308.jpg|data/standardized_jpg/adm/val/nature/000428.jpg|data/standardized_jpg/adm/val/ai/000186.jpg|data/standardized_jpg/adm/val/ai/000346.jpg|data/standardized_jpg/adm/val/ai/000487.jpg
1,data/standardized_jpg/adm/train/nature/000146.jpg|data/standardized_jpg/adm/val/nature/000205.jpg
2,data/standardized_jpg/adm/train/nature/000185.jpg|data/standardized_jpg/adm/train/ai/000438.jpg
3,data/standardized_jpg/adm/train/nature/001714.jpg|data/standardized_jpg/adm/train/ai/000697.jpg|data/standardized_jpg/adm/val/nature/000146.jpg|data/standardized_jpg/adm/val/ai/000255.jpg
4,data/standardized_jpg/adm/train/nature/001933.jpg|data/standardized_jpg/adm/train/nature/000003.jpg
5,data/standardized_jpg/adm/train/nature/001884.jpg|data/standardized_jpg/adm/train/nature/001501.jpg|data/standardized_jpg/adm/train/nature/001087.jpg|data/standardized_jpg/adm/train/nature/000992.jpg|data/standardized_jpg/adm/train/ai/001606.jpg|data/standardized_jpg/adm/val/nature/000299.jpg|data/standardized_jpg/adm/val/nature/000416.jpg
6,data/standardized_jpg/adm/train/nature/001890.jpg|data/standardized_jpg/adm/train/nature/001361.jpg|data/standardized_jpg/adm/train/nature/001957.jpg|data/standardized_jpg/adm/train/ai/001639.jpg|data/standardized_jpg/adm/train/ai/001162.jpg|data/standardized_jpg/adm/val/ai/000232.jpg|data/standardized_jpg/adm/val/ai/000298.jpg
7,data/standardized_jpg/adm/train/nature/001847.jpg|data/standardized_jpg/adm/val/ai/000139.jpg
8,data/standardized_jpg/adm/train/nature/000595.jpg|data/standardized_jpg/adm/train/ai/001108.jpg
9,data/standardized_jpg/adm/train/nature/000026.jpg|data/standardized_jpg/adm/train/ai/001868.jpg|data/standardized_jpg/adm/train/ai/000883.jpg
10,data/standardized_jpg/adm/train/nature/001489.jpg|data/standardized_jpg/adm/train/nature/001076.jpg
11,data/standardized_jpg/adm/train/nature/000972.jpg|data/standardized_jpg/adm/train/ai/000879.jpg|data/standardized_jpg/adm/train/ai/000995.jpg
12,data/standardized_jpg/adm/train/nature/001311.jpg|data/standardized_jpg/adm/train/nature/001748.jpg|data/standardized_jpg/adm/train/nature/001821.jpg|data/standardized_jpg/adm/train/nature/000705.jpg|data/standardized_jpg/adm/train/ai/001248.jpg|data/standardized_jpg/adm/train/ai/001214.jpg
