hash,paths
ffffffff00000000,data/standardized_jpg/general/train/nature/14147.jpg|data/standardized_jpg/general/train/nature/3550.jpg|data/standardized_jpg/general/train/nature/20180.jpg|data/standardized_jpg/general/train/nature/9848.jpg|data/standardized_jpg/general/train/nature/5097.jpg|data/standardized_jpg/general/train/nature/20368.jpg|data/standardized_jpg/general/train/nature/4174.jpg|data/standardized_jpg/general/train/nature/0064.jpg|data/standardized_jpg/general/train/nature/19462.jpg|data/standardized_jpg/general/train/nature/6403.jpg|data/standardized_jpg/general/train/nature/14391.jpg|data/standardized_jpg/general/train/nature/15676.jpg|data/standardized_jpg/general/train/nature/16394.jpg|data/standardized_jpg/general/train/nature/4837.jpg|data/standardized_jpg/general/train/nature/21510.jpg|data/standardized_jpg/general/train/nature/16141.jpg|data/standardized_jpg/general/train/nature/7133.jpg|data/standardized_jpg/general/train/nature/4188.jpg|data/standardized_jpg/general/train/nature/20828.jpg|data/standardized_jpg/general/train/nature/7293.jpg|data/standardized_jpg/general/train/nature/17666.jpg|data/standardized_jpg/general/train/nature/17470.jpg|data/standardized_jpg/general/train/nature/19307.jpg|data/standardized_jpg/general/train/nature/21139.jpg|data/standardized_jpg/general/train/nature/7297.jpg|data/standardized_jpg/general/train/nature/22168.jpg|data/standardized_jpg/general/train/nature/5286.jpg|data/standardized_jpg/general/train/nature/15303.jpg|data/standardized_jpg/general/train/nature/5708.jpg|data/standardized_jpg/general/train/nature/13029.jpg|data/standardized_jpg/general/train/nature/20144.jpg|data/standardized_jpg/general/train/nature/10497.jpg|data/standardized_jpg/general/train/nature/20973.jpg|data/standardized_jpg/general/train/nature/1020.jpg|data/standardized_jpg/general/train/nature/5285.jpg|data/standardized_jpg/general/train/nature/10278.jpg|data/standardized_jpg/general/train/nature/21933.jpg|data/standardized_jpg/general/train/nature/21927.jpg|data/standardized_jpg/general/train/nature/6570.jpg|data/standardized_jpg/general/train/nature/23472.jpg|data/standardized_jpg/general/train/nature/18209.jpg|data/standardized_jpg/general/train/nature/13412.jpg|data/standardized_jpg/general/train/nature/13638.jpg|data/standardized_jpg/general/train/nature/3226.jpg|data/standardized_jpg/general/train/nature/7755.jpg|data/standardized_jpg/general/train/nature/5817.jpg|data/standardized_jpg/general/train/nature/20691.jpg|data/standardized_jpg/general/train/nature/12637.jpg|data/standardized_jpg/general/train/nature/18483.jpg|data/standardized_jpg/general/train/nature/15398.jpg|data/standardized_jpg/general/train/nature/8936.jpg|data/standardized_jpg/general/train/nature/12187.jpg|data/standardized_jpg/general/train/nature/1906.jpg|data/standardized_jpg/general/train/nature/16478.jpg|data/standardized_jpg/general/train/nature/4665.jpg|data/standardized_jpg/general/train/nature/23212.jpg|data/standardized_jpg/general/train/nature/8856.jpg|data/standardized_jpg/general/train/nature/2374.jpg|data/standardized_jpg/general/train/nature/7967.jpg|data/standardized_jpg/general/train/nature/4539.jpg|data/standardized_jpg/general/train/nature/0950.jpg|data/standardized_jpg/general/train/nature/11275.jpg|data/standardized_jpg/general/train/nature/18245.jpg|data/standardized_jpg/general/train/nature/17610.jpg|data/standardized_jpg/general/train/nature/5380.jpg|data/standardized_jpg/general/train/nature/3108.jpg|data/standardized_jpg/general/train/nature/16485.jpg|data/standardized_jpg/general/train/nature/4840.jpg|data/standardized_jpg/general/train/nature/1938.jpg|data/standardized_jpg/general/train/nature/14085.jpg|data/standardized_jpg/general/train/nature/22641.jpg|data/standardized_jpg/general/train/nature/15760.jpg|data/standardized_jpg/general/train/nature/2405.jpg|data/standardized_jpg/general/train/nature/6111.jpg|data/standardized_jpg/general/train/nature/20283.jpg|data/standardized_jpg/general/train/nature/5811.jpg|data/standardized_jpg/general/train/nature/2818.jpg|data/standardized_jpg/general/train/nature/3737.jpg|data/standardized_jpg/general/train/nature/15980.jpg|data/standardized_jpg/general/train/nature/16286.jpg|data/standardized_jpg/general/train/nature/5226.jpg|data/standardized_jpg/general/train/nature/8064.jpg|data/standardized_jpg/general/train/nature/22094.jpg|data/standardized_jpg/general/train/nature/9420.jpg|data/standardized_jpg/general/train/nature/14283.jpg|data/standardized_jpg/general/train/nature/17205.jpg|data/standardized_jpg/general/train/nature/4474.jpg|data/standardized_jpg/general/train/nature/12396.jpg|data/standardized_jpg/general/train/nature/13089.jpg|data/standardized_jpg/general/train/nature/2992.jpg|data/standardized_jpg/general/train/nature/20641.jpg|data/standardized_jpg/general/train/nature/16293.jpg|data/standardized_jpg/general/train/nature/8105.jpg|data/standardized_jpg/general/train/nature/23000.jpg|data/standardized_jpg/general/train/nature/10390.jpg|data/standardized_jpg/general/train/nature/19808.jpg|data/standardized_jpg/general/train/nature/18445.jpg|data/standardized_jpg/general/train/nature/6089.jpg|data/standardized_jpg/general/train/nature/21039.jpg|data/standardized_jpg/general/train/nature/3682.jpg|data/standardized_jpg/general/train/nature/8489.jpg|data/standardized_jpg/general/train/nature/12237.jpg|data/standardized_jpg/general/train/nature/16048.jpg|data/standardized_jpg/general/train/nature/23742.jpg|data/standardized_jpg/general/train/nature/7210.jpg|data/standardized_jpg/general/train/nature/19192.jpg|data/standardized_jpg/general/train/nature/3116.jpg|data/standardized_jpg/general/train/nature/6250.jpg|data/standardized_jpg/general/train/nature/0807.jpg|data/standardized_jpg/general/train/nature/0185.jpg|data/standardized_jpg/general/train/nature/1933.jpg|data/standardized_jpg/general/train/nature/5228.jpg|data/standardized_jpg/general/train/nature/16288.jpg|data/standardized_jpg/general/train/nature/17196.jpg|data/standardized_jpg/general/train/nature/21154.jpg|data/standardized_jpg/general/train/nature/21829.jpg|data/standardized_jpg/general/train/nature/15226.jpg|data/standardized_jpg/general/train/nature/2357.jpg|data/standardized_jpg/general/train/nature/3934.jpg|data/standardized_jpg/general/train/nature/4097.jpg|data/standardized_jpg/general/train/nature/23345.jpg|data/standardized_jpg/general/train/nature/7159.jpg|data/standardized_jpg/general/train/nature/2791.jpg|data/standardized_jpg/general/train/nature/4492.jpg|data/standardized_jpg/general/train/nature/21962.jpg|data/standardized_jpg/general/train/nature/4860.jpg|data/standardized_jpg/general/train/nature/15153.jpg|data/standardized_jpg/general/train/nature/2381.jpg|data/standardized_jpg/general/train/nature/7206.jpg|data/standardized_jpg/general/train/nature/13456.jpg|data/standardized_jpg/general/train/nature/15580.jpg|data/standardized_jpg/general/train/nature/4280.jpg|data/standardized_jpg/general/train/nature/1475.jpg|data/standardized_jpg/general/train/nature/21190.jpg|data/standardized_jpg/general/train/nature/14881.jpg|data/standardized_jpg/general/train/nature/15221.jpg|data/standardized_jpg/general/train/nature/22466.jpg|data/standardized_jpg/general/train/nature/2352.jpg|data/standardized_jpg/general/train/nature/21594.jpg|data/standardized_jpg/general/train/nature/0431.jpg|data/standardized_jpg/general/train/nature/2965.jpg|data/standardized_jpg/general/train/nature/4497.jpg|data/standardized_jpg/general/train/nature/20072.jpg|data/standardized_jpg/general/train/nature/21436.jpg|data/standardized_jpg/general/train/nature/11244.jpg|data/standardized_jpg/general/train/nature/13862.jpg|data/standardized_jpg/general/train/nature/12598.jpg|data/standardized_jpg/general/train/nature/6337.jpg|data/standardized_jpg/general/train/nature/17423.jpg|data/standardized_jpg/general/train/nature/13121.jpg|data/standardized_jpg/general/train/nature/7771.jpg|data/standardized_jpg/general/train/nature/2379.jpg|data/standardized_jpg/general/train/nature/6902.jpg|data/standardized_jpg/general/train/nature/2754.jpg|data/standardized_jpg/general/train/nature/21780.jpg|data/standardized_jpg/general/train/nature/15814.jpg|data/standardized_jpg/general/train/nature/14263.jpg|data/standardized_jpg/general/train/nature/3890.jpg|data/standardized_jpg/general/train/nature/15536.jpg|data/standardized_jpg/general/train/nature/6145.jpg|data/standardized_jpg/general/train/nature/22205.jpg|data/standardized_jpg/general/train/nature/9869.jpg|data/standardized_jpg/general/train/nature/9129.jpg|data/standardized_jpg/general/train/nature/10249.jpg|data/standardized_jpg/general/train/nature/0131.jpg|data/standardized_jpg/general/train/nature/19721.jpg|data/standardized_jpg/general/train/nature/22172.jpg|data/standardized_jpg/general/train/nature/7272.jpg|data/standardized_jpg/general/train/nature/9061.jpg|data/standardized_jpg/general/train/nature/23907.jpg|data/standardized_jpg/general/train/nature/3558.jpg|data/standardized_jpg/general/train/nature/4037.jpg|data/standardized_jpg/general/train/nature/3016.jpg|data/standardized_jpg/general/train/nature/19904.jpg|data/standardized_jpg/general/train/nature/23440.jpg|data/standardized_jpg/general/train/nature/19253.jpg|data/standardized_jpg/general/train/nature/0132.jpg|data/standardized_jpg/general/train/nature/19078.jpg|data/standardized_jpg/general/train/nature/20014.jpg|data/standardized_jpg/general/train/nature/18560.jpg|data/standardized_jpg/general/train/nature/5328.jpg|data/standardized_jpg/general/train/nature/2876.jpg|data/standardized_jpg/general/train/nature/13186.jpg|data/standardized_jpg/general/train/nature/3229.jpg|data/standardized_jpg/general/train/nature/0056.jpg|data/standardized_jpg/general/train/nature/7261.jpg|data/standardized_jpg/general/train/nature/1823.jpg|data/standardized_jpg/general/train/nature/12908.jpg|data/standardized_jpg/general/train/nature/20367.jpg|data/standardized_jpg/general/train/nature/12470.jpg|data/standardized_jpg/general/train/nature/1942.jpg|data/standardized_jpg/general/train/nature/21253.jpg|data/standardized_jpg/general/train/nature/2536.jpg|data/standardized_jpg/general/train/nature/15121.jpg|data/standardized_jpg/general/train/nature/10878.jpg|data/standardized_jpg/general/train/nature/3947.jpg|data/standardized_jpg/general/train/nature/7048.jpg|data/standardized_jpg/general/train/nature/9918.jpg|data/standardized_jpg/general/train/nature/7262.jpg|data/standardized_jpg/general/train/nature/3945.jpg|data/standardized_jpg/general/train/nature/3170.jpg|data/standardized_jpg/general/train/nature/4192.jpg|data/standardized_jpg/general/train/nature/13962.jpg|data/standardized_jpg/general/train/nature/15863.jpg|data/standardized_jpg/general/train/nature/4636.jpg|data/standardized_jpg/general/train/nature/3165.jpg|data/standardized_jpg/general/train/nature/6814.jpg|data/standardized_jpg/general/train/nature/6155.jpg|data/standardized_jpg/general/train/nature/6141.jpg|data/standardized_jpg/general/train/nature/19452.jpg|data/standardized_jpg/general/train/nature/3207.jpg|data/standardized_jpg/general/train/ai/8997.jpg|data/standardized_jpg/general/train/ai/9690.jpg|data/standardized_jpg/general/train/ai/8799.jpg|data/standardized_jpg/general/train/ai/16811.jpg|data/standardized_jpg/general/train/ai/2070.jpg|data/standardized_jpg/general/train/ai/12268.jpg|data/standardized_jpg/general/train/ai/5435.jpg|data/standardized_jpg/general/train/ai/13441.jpg|data/standardized_jpg/general/train/ai/14676.jpg|data/standardized_jpg/general/train/ai/22466.jpg|data/standardized_jpg/general/train/ai/4870.jpg|data/standardized_jpg/general/train/ai/22167.jpg|data/standardized_jpg/general/train/ai/4218.jpg|data/standardized_jpg/general/train/ai/11597.jpg|data/standardized_jpg/general/val/nature/3593.jpg|data/standardized_jpg/general/val/nature/1810.jpg|data/standardized_jpg/general/val/nature/1227.jpg|data/standardized_jpg/general/val/nature/1756.jpg|data/standardized_jpg/general/val/nature/4570.jpg|data/standardized_jpg/general/val/nature/1580.jpg|data/standardized_jpg/general/val/nature/3744.jpg|data/standardized_jpg/general/val/nature/1396.jpg|data/standardized_jpg/general/val/nature/1977.jpg|data/standardized_jpg/general/val/nature/1397.jpg|data/standardized_jpg/general/val/nature/4589.jpg|data/standardized_jpg/general/val/nature/4762.jpg|data/standardized_jpg/general/val/nature/4617.jpg|data/standardized_jpg/general/val/nature/1536.jpg|data/standardized_jpg/general/val/nature/2572.jpg|data/standardized_jpg/general/val/nature/3056.jpg|data/standardized_jpg/general/val/nature/4711.jpg|data/standardized_jpg/general/val/nature/1469.jpg|data/standardized_jpg/general/val/nature/2941.jpg|data/standardized_jpg/general/val/nature/2983.jpg|data/standardized_jpg/general/val/nature/3497.jpg|data/standardized_jpg/general/val/nature/5145.jpg|data/standardized_jpg/general/val/nature/1445.jpg|data/standardized_jpg/general/val/nature/5580.jpg|data/standardized_jpg/general/val/nature/3683.jpg|data/standardized_jpg/general/val/nature/1917.jpg|data/standardized_jpg/general/val/nature/1678.jpg|data/standardized_jpg/general/val/nature/0594.jpg|data/standardized_jpg/general/val/nature/3711.jpg|data/standardized_jpg/general/val/nature/2143.jpg|data/standardized_jpg/general/val/nature/4479.jpg|data/standardized_jpg/general/val/nature/3128.jpg|data/standardized_jpg/general/val/nature/2183.jpg|data/standardized_jpg/general/val/nature/2756.jpg|data/standardized_jpg/general/val/nature/2965.jpg|data/standardized_jpg/general/val/nature/2794.jpg|data/standardized_jpg/general/val/nature/2970.jpg|data/standardized_jpg/general/val/nature/0552.jpg|data/standardized_jpg/general/val/nature/4052.jpg|data/standardized_jpg/general/val/nature/1062.jpg|data/standardized_jpg/general/val/nature/2224.jpg|data/standardized_jpg/general/val/nature/5666.jpg|data/standardized_jpg/general/val/nature/3015.jpg|data/standardized_jpg/general/val/nature/5538.jpg|data/standardized_jpg/general/val/nature/2269.jpg|data/standardized_jpg/general/val/nature/0283.jpg|data/standardized_jpg/general/val/nature/3628.jpg|data/standardized_jpg/general/val/nature/4019.jpg|data/standardized_jpg/general/val/nature/2044.jpg|data/standardized_jpg/general/val/nature/2905.jpg|data/standardized_jpg/general/val/nature/0108.jpg|data/standardized_jpg/general/val/nature/5514.jpg|data/standardized_jpg/general/val/nature/3950.jpg|data/standardized_jpg/general/val/ai/1540.jpg|data/standardized_jpg/general/val/ai/5239.jpg|data/standardized_jpg/general/val/ai/1416.jpg
ffffffffff010000,data/standardized_jpg/general/train/nature/6400.jpg|data/standardized_jpg/general/train/nature/21881.jpg|data/standardized_jpg/general/train/nature/16786.jpg|data/standardized_jpg/general/train/nature/2349.jpg|data/standardized_jpg/general/train/nature/7233.jpg|data/standardized_jpg/general/train/nature/0015.jpg|data/standardized_jpg/general/train/nature/5560.jpg
ffffffe400000000,data/standardized_jpg/general/train/nature/0071.jpg|data/standardized_jpg/general/train/nature/7223.jpg|data/standardized_jpg/general/val/nature/3515.jpg
ffffff0000000000,data/standardized_jpg/general/train/nature/16750.jpg|data/standardized_jpg/general/train/nature/7130.jpg|data/standardized_jpg/general/train/nature/3356.jpg|data/standardized_jpg/general/train/nature/23891.jpg|data/standardized_jpg/general/train/nature/20354.jpg|data/standardized_jpg/general/train/nature/14797.jpg|data/standardized_jpg/general/train/nature/7496.jpg|data/standardized_jpg/general/train/nature/3960.jpg|data/standardized_jpg/general/train/nature/16976.jpg|data/standardized_jpg/general/train/nature/13173.jpg|data/standardized_jpg/general/train/nature/20550.jpg|data/standardized_jpg/general/train/nature/2467.jpg|data/standardized_jpg/general/train/nature/4957.jpg|data/standardized_jpg/general/train/nature/21061.jpg|data/standardized_jpg/general/train/nature/5296.jpg|data/standardized_jpg/general/train/nature/7287.jpg|data/standardized_jpg/general/train/nature/22187.jpg|data/standardized_jpg/general/train/nature/3608.jpg|data/standardized_jpg/general/train/nature/10050.jpg|data/standardized_jpg/general/train/nature/22182.jpg|data/standardized_jpg/general/train/nature/2339.jpg|data/standardized_jpg/general/train/nature/19300.jpg|data/standardized_jpg/general/train/nature/5332.jpg|data/standardized_jpg/general/train/nature/7257.jpg|data/standardized_jpg/general/train/nature/19670.jpg|data/standardized_jpg/general/train/nature/0115.jpg|data/standardized_jpg/general/train/nature/16556.jpg|data/standardized_jpg/general/train/nature/9552.jpg|data/standardized_jpg/general/train/nature/9194.jpg|data/standardized_jpg/general/train/nature/14092.jpg|data/standardized_jpg/general/train/nature/19978.jpg|data/standardized_jpg/general/train/nature/15165.jpg|data/standardized_jpg/general/train/nature/6847.jpg|data/standardized_jpg/general/train/nature/20928.jpg|data/standardized_jpg/general/train/nature/2189.jpg|data/standardized_jpg/general/train/nature/3297.jpg|data/standardized_jpg/general/train/nature/4507.jpg|data/standardized_jpg/general/train/nature/15211.jpg|data/standardized_jpg/general/train/nature/7187.jpg|data/standardized_jpg/general/train/nature/20863.jpg|data/standardized_jpg/general/train/nature/18052.jpg|data/standardized_jpg/general/train/nature/2175.jpg|data/standardized_jpg/general/train/nature/13473.jpg|data/standardized_jpg/general/train/nature/13711.jpg|data/standardized_jpg/general/train/nature/14043.jpg|data/standardized_jpg/general/train/nature/7342.jpg|data/standardized_jpg/general/train/nature/19822.jpg|data/standardized_jpg/general/train/nature/15765.jpg|data/standardized_jpg/general/train/nature/18255.jpg|data/standardized_jpg/general/train/nature/20912.jpg|data/standardized_jpg/general/train/nature/13289.jpg|data/standardized_jpg/general/train/nature/7618.jpg|data/standardized_jpg/general/train/nature/23405.jpg|data/standardized_jpg/general/train/nature/19835.jpg|data/standardized_jpg/general/train/nature/7221.jpg|data/standardized_jpg/general/train/nature/8335.jpg|data/standardized_jpg/general/train/nature/20511.jpg|data/standardized_jpg/general/train/nature/19794.jpg|data/standardized_jpg/general/train/nature/21008.jpg|data/standardized_jpg/general/train/nature/11295.jpg|data/standardized_jpg/general/train/nature/23741.jpg|data/standardized_jpg/general/train/nature/5438.jpg|data/standardized_jpg/general/train/nature/14338.jpg|data/standardized_jpg/general/train/nature/8915.jpg|data/standardized_jpg/general/train/nature/2021.jpg|data/standardized_jpg/general/train/nature/15422.jpg|data/standardized_jpg/general/train/nature/6068.jpg|data/standardized_jpg/general/train/nature/18659.jpg|data/standardized_jpg/general/train/nature/4496.jpg|data/standardized_jpg/general/train/nature/2964.jpg|data/standardized_jpg/general/train/nature/19383.jpg|data/standardized_jpg/general/train/nature/9628.jpg|data/standardized_jpg/general/train/nature/4495.jpg|data/standardized_jpg/general/train/nature/7823.jpg|data/standardized_jpg/general/train/nature/6081.jpg|data/standardized_jpg/general/train/nature/19960.jpg|data/standardized_jpg/general/train/nature/22896.jpg|data/standardized_jpg/general/train/nature/2337.jpg|data/standardized_jpg/general/train/nature/13386.jpg|data/standardized_jpg/general/train/nature/1945.jpg|data/standardized_jpg/general/train/nature/2294.jpg|data/standardized_jpg/general/train/nature/9896.jpg|data/standardized_jpg/general/train/nature/15721.jpg|data/standardized_jpg/general/train/nature/14359.jpg|data/standardized_jpg/general/train/nature/5883.jpg|data/standardized_jpg/general/train/nature/18985.jpg|data/standardized_jpg/general/train/nature/16955.jpg|data/standardized_jpg/general/train/nature/0457.jpg|data/standardized_jpg/general/train/nature/2268.jpg|data/standardized_jpg/general/train/nature/21469.jpg|data/standardized_jpg/general/train/nature/14808.jpg|data/standardized_jpg/general/train/nature/11780.jpg|data/standardized_jpg/general/train/nature/13140.jpg|data/standardized_jpg/general/train/nature/12062.jpg|data/standardized_jpg/general/train/nature/7896.jpg|data/standardized_jpg/general/train/nature/21735.jpg|data/standardized_jpg/general/train/nature/2905.jpg|data/standardized_jpg/general/train/nature/20416.jpg|data/standardized_jpg/general/train/nature/14770.jpg|data/standardized_jpg/general/train/nature/18228.jpg|data/standardized_jpg/general/train/nature/7277.jpg|data/standardized_jpg/general/train/nature/3763.jpg|data/standardized_jpg/general/train/nature/13355.jpg|data/standardized_jpg/general/train/ai/16814.jpg|data/standardized_jpg/general/train/ai/14547.jpg|data/standardized_jpg/general/train/ai/1324.jpg|data/standardized_jpg/general/train/ai/14643.jpg|data/standardized_jpg/general/train/ai/5592.jpg|data/standardized_jpg/general/train/ai/2206.jpg|data/standardized_jpg/general/train/ai/8526.jpg|data/standardized_jpg/general/train/ai/13226.jpg|data/standardized_jpg/general/train/ai/1577.jpg|data/standardized_jpg/general/train/ai/7674.jpg|data/standardized_jpg/general/train/ai/23336.jpg|data/standardized_jpg/general/train/ai/13626.jpg|data/standardized_jpg/general/val/nature/1958.jpg|data/standardized_jpg/general/val/nature/5733.jpg|data/standardized_jpg/general/val/nature/2908.jpg|data/standardized_jpg/general/val/nature/2842.jpg|data/standardized_jpg/general/val/nature/5480.jpg|data/standardized_jpg/general/val/nature/3806.jpg|data/standardized_jpg/general/val/nature/1683.jpg|data/standardized_jpg/general/val/nature/2957.jpg|data/standardized_jpg/general/val/nature/1695.jpg|data/standardized_jpg/general/val/nature/5150.jpg|data/standardized_jpg/general/val/nature/5639.jpg|data/standardized_jpg/general/val/nature/4651.jpg|data/standardized_jpg/general/val/nature/3713.jpg|data/standardized_jpg/general/val/nature/5149.jpg|data/standardized_jpg/general/val/nature/3461.jpg|data/standardized_jpg/general/val/nature/5210.jpg|data/standardized_jpg/general/val/nature/3339.jpg|data/standardized_jpg/general/val/nature/0497.jpg|data/standardized_jpg/general/val/nature/5851.jpg|data/standardized_jpg/general/val/ai/2950.jpg|data/standardized_jpg/general/val/ai/0605.jpg
00007effff3c0000,data/standardized_jpg/general/train/nature/20584.jpg|data/standardized_jpg/general/train/nature/6574.jpg|data/standardized_jpg/general/train/ai/15497.jpg
fffffffffcc00000,data/standardized_jpg/general/train/nature/22393.jpg|data/standardized_jpg/general/train/nature/15198.jpg|data/standardized_jpg/general/train/nature/13030.jpg
ffffffff43000000,data/standardized_jpg/general/train/nature/21856.jpg|data/standardized_jpg/general/train/nature/22436.jpg|data/standardized_jpg/general/train/nature/2224.jpg|data/standardized_jpg/general/train/nature/15914.jpg
ffffffe000000000,data/standardized_jpg/general/train/nature/19477.jpg|data/standardized_jpg/general/train/nature/0516.jpg|data/standardized_jpg/general/train/nature/2248.jpg|data/standardized_jpg/general/train/nature/3208.jpg|data/standardized_jpg/general/train/nature/21403.jpg|data/standardized_jpg/general/train/nature/9820.jpg|data/standardized_jpg/general/train/nature/15594.jpg|data/standardized_jpg/general/train/nature/14116.jpg|data/standardized_jpg/general/train/nature/4457.jpg|data/standardized_jpg/general/train/nature/7139.jpg|data/standardized_jpg/general/train/nature/22005.jpg|data/standardized_jpg/general/train/nature/5298.jpg|data/standardized_jpg/general/train/nature/6343.jpg|data/standardized_jpg/general/train/ai/6204.jpg|data/standardized_jpg/general/train/ai/12929.jpg|data/standardized_jpg/general/train/ai/18258.jpg|data/standardized_jpg/general/train/ai/12714.jpg|data/standardized_jpg/general/train/ai/15125.jpg|data/standardized_jpg/general/val/nature/3769.jpg|data/standardized_jpg/general/val/nature/0574.jpg|data/standardized_jpg/general/val/nature/3564.jpg
ffffff3f04000000,data/standardized_jpg/general/train/nature/17466.jpg|data/standardized_jpg/general/train/nature/2606.jpg
fffffffcf8000000,data/standardized_jpg/general/train/nature/22344.jpg|data/standardized_jpg/general/train/nature/12204.jpg|data/standardized_jpg/general/train/nature/20161.jpg|data/standardized_jpg/general/val/nature/4430.jpg
