group_id,paths
0,data/standardized_jpg/glide/train/nature/000608.jpg|data/standardized_jpg/glide/train/nature/000194.jpg
1,data/standardized_jpg/glide/train/nature/001258.jpg|data/standardized_jpg/glide/train/nature/000975.jpg|data/standardized_jpg/glide/train/ai/000988.jpg|data/standardized_jpg/glide/train/ai/001203.jpg
2,data/standardized_jpg/glide/train/nature/000813.jpg|data/standardized_jpg/glide/val/nature/000053.jpg
3,data/standardized_jpg/glide/train/nature/000807.jpg|data/standardized_jpg/glide/train/nature/000234.jpg
4,data/standardized_jpg/glide/train/nature/001700.jpg|data/standardized_jpg/glide/train/nature/001228.jpg|data/standardized_jpg/glide/train/ai/001300.jpg|data/standardized_jpg/glide/train/ai/001045.jpg|data/standardized_jpg/glide/train/ai/001849.jpg|data/standardized_jpg/glide/val/ai/000356.jpg
5,data/standardized_jpg/glide/train/nature/000393.jpg|data/standardized_jpg/glide/train/nature/000131.jpg|data/standardized_jpg/glide/train/ai/000727.jpg
6,data/standardized_jpg/glide/train/nature/001660.jpg|data/standardized_jpg/glide/train/ai/000378.jpg|data/standardized_jpg/glide/train/ai/000871.jpg|data/standardized_jpg/glide/train/ai/001535.jpg
7,data/standardized_jpg/glide/train/nature/001112.jpg|data/standardized_jpg/glide/train/nature/001854.jpg|data/standardized_jpg/glide/train/nature/001061.jpg|data/standardized_jpg/glide/train/nature/001507.jpg|data/standardized_jpg/glide/train/nature/000963.jpg|data/standardized_jpg/glide/train/nature/000803.jpg|data/standardized_jpg/glide/train/nature/001833.jpg|data/standardized_jpg/glide/train/nature/000527.jpg|data/standardized_jpg/glide/train/nature/001177.jpg|data/standardized_jpg/glide/train/nature/001148.jpg|data/standardized_jpg/glide/train/nature/001798.jpg|data/standardized_jpg/glide/train/nature/001341.jpg|data/standardized_jpg/glide/train/nature/001584.jpg|data/standardized_jpg/glide/train/nature/001319.jpg|data/standardized_jpg/glide/train/nature/001054.jpg|data/standardized_jpg/glide/train/nature/001678.jpg|data/standardized_jpg/glide/train/nature/001446.jpg|data/standardized_jpg/glide/train/nature/001282.jpg|data/standardized_jpg/glide/train/ai/001661.jpg|data/standardized_jpg/glide/train/ai/001271.jpg|data/standardized_jpg/glide/train/ai/000804.jpg|data/standardized_jpg/glide/train/ai/001071.jpg|data/standardized_jpg/glide/train/ai/000958.jpg|data/standardized_jpg/glide/train/ai/000805.jpg|data/standardized_jpg/glide/train/ai/001102.jpg|data/standardized_jpg/glide/train/ai/001945.jpg|data/standardized_jpg/glide/train/ai/001947.jpg|data/standardized_jpg/glide/train/ai/001953.jpg|data/standardized_jpg/glide/train/ai/001952.jpg|data/standardized_jpg/glide/train/ai/001956.jpg|data/standardized_jpg/glide/train/ai/001016.jpg|data/standardized_jpg/glide/train/ai/001955.jpg|data/standardized_jpg/glide/train/ai/001015.jpg|data/standardized_jpg/glide/train/ai/001142.jpg|data/standardized_jpg/glide/train/ai/001962.jpg|data/standardized_jpg/glide/train/ai/001419.jpg|data/standardized_jpg/glide/train/ai/001357.jpg|data/standardized_jpg/glide/train/ai/001053.jpg|data/standardized_jpg/glide/train/ai/001898.jpg|data/standardized_jpg/glide/train/ai/001244.jpg|data/standardized_jpg/glide/train/ai/001243.jpg|data/standardized_jpg/glide/train/ai/001054.jpg|data/standardized_jpg/glide/train/ai/001686.jpg|data/standardized_jpg/glide/train/ai/001080.jpg|data/standardized_jpg/glide/train/ai/001533.jpg|data/standardized_jpg/glide/val/nature/000150.jpg|data/standardized_jpg/glide/val/nature/000395.jpg|data/standardized_jpg/glide/val/nature/000108.jpg|data/standardized_jpg/glide/val/nature/000305.jpg|data/standardized_jpg/glide/val/nature/000414.jpg|data/standardized_jpg/glide/val/nature/000362.jpg|data/standardized_jpg/glide/val/nature/000148.jpg|data/standardized_jpg/glide/val/nature/000016.jpg|data/standardized_jpg/glide/val/nature/000003.jpg|data/standardized_jpg/glide/val/ai/000354.jpg|data/standardized_jpg/glide/val/ai/000310.jpg|data/standardized_jpg/glide/val/ai/000262.jpg|data/standardized_jpg/glide/val/ai/000211.jpg|data/standardized_jpg/glide/val/ai/000013.jpg|data/standardized_jpg/glide/val/ai/000349.jpg
8,data/standardized_jpg/glide/train/nature/001648.jpg|data/standardized_jpg/glide/train/nature/001732.jpg|data/standardized_jpg/glide/train/nature/001725.jpg
9,data/standardized_jpg/glide/train/nature/001462.jpg|data/standardized_jpg/glide/train/ai/000786.jpg
