group_id,paths
0,data/standardized_jpg/sdv5/train/nature/001264.jpg|data/standardized_jpg/sdv5/train/nature/001433.jpg|data/standardized_jpg/sdv5/val/nature/000436.jpg|data/standardized_jpg/sdv5/val/ai/000363.jpg
1,data/standardized_jpg/sdv5/train/nature/000620.jpg|data/standardized_jpg/sdv5/val/ai/000472.jpg
2,data/standardized_jpg/sdv5/train/nature/000350.jpg|data/standardized_jpg/sdv5/train/nature/001362.jpg
3,data/standardized_jpg/sdv5/train/nature/000422.jpg|data/standardized_jpg/sdv5/val/ai/000144.jpg
4,data/standardized_jpg/sdv5/train/nature/000387.jpg|data/standardized_jpg/sdv5/train/nature/000184.jpg|data/standardized_jpg/sdv5/train/nature/001104.jpg|data/standardized_jpg/sdv5/train/nature/000078.jpg|data/standardized_jpg/sdv5/train/nature/001836.jpg|data/standardized_jpg/sdv5/train/nature/000080.jpg|data/standardized_jpg/sdv5/train/nature/000264.jpg|data/standardized_jpg/sdv5/train/nature/000206.jpg|data/standardized_jpg/sdv5/train/nature/000575.jpg|data/standardized_jpg/sdv5/train/nature/001727.jpg|data/standardized_jpg/sdv5/train/nature/001518.jpg|data/standardized_jpg/sdv5/train/ai/001119.jpg|data/standardized_jpg/sdv5/train/ai/001041.jpg|data/standardized_jpg/sdv5/val/nature/000152.jpg|data/standardized_jpg/sdv5/val/nature/000380.jpg|data/standardized_jpg/sdv5/val/nature/000411.jpg
5,data/standardized_jpg/sdv5/train/nature/001099.jpg|data/standardized_jpg/sdv5/train/nature/000221.jpg|data/standardized_jpg/sdv5/train/nature/001525.jpg
6,data/standardized_jpg/sdv5/train/nature/001660.jpg|data/standardized_jpg/sdv5/train/nature/001930.jpg|data/standardized_jpg/sdv5/train/nature/001575.jpg|data/standardized_jpg/sdv5/train/nature/000940.jpg|data/standardized_jpg/sdv5/train/ai/001146.jpg
7,data/standardized_jpg/sdv5/train/nature/001674.jpg|data/standardized_jpg/sdv5/train/nature/000124.jpg|data/standardized_jpg/sdv5/train/nature/000656.jpg|data/standardized_jpg/sdv5/train/nature/001016.jpg|data/standardized_jpg/sdv5/train/nature/001084.jpg|data/standardized_jpg/sdv5/train/ai/001116.jpg
8,data/standardized_jpg/sdv5/train/nature/000224.jpg|data/standardized_jpg/sdv5/val/ai/000037.jpg
9,data/standardized_jpg/sdv5/train/nature/001884.jpg|data/standardized_jpg/sdv5/val/ai/000360.jpg
10,data/standardized_jpg/sdv5/train/nature/001648.jpg|data/standardized_jpg/sdv5/train/ai/001479.jpg
11,data/standardized_jpg/sdv5/train/nature/001304.jpg|data/standardized_jpg/sdv5/train/nature/000730.jpg
12,data/standardized_jpg/sdv5/train/nature/000782.jpg|data/standardized_jpg/sdv5/train/nature/000705.jpg
13,data/standardized_jpg/sdv5/train/nature/001477.jpg|data/standardized_jpg/sdv5/train/ai/001310.jpg
14,data/standardized_jpg/sdv5/train/nature/001463.jpg|data/standardized_jpg/sdv5/train/nature/001370.jpg|data/standardized_jpg/sdv5/train/nature/001201.jpg|data/standardized_jpg/sdv5/train/nature/001411.jpg|data/standardized_jpg/sdv5/train/nature/001624.jpg|data/standardized_jpg/sdv5/train/nature/001456.jpg|data/standardized_jpg/sdv5/train/nature/001293.jpg|data/standardized_jpg/sdv5/train/nature/001685.jpg|data/standardized_jpg/sdv5/train/nature/001678.jpg|data/standardized_jpg/sdv5/train/ai/001430.jpg|data/standardized_jpg/sdv5/train/ai/001097.jpg|data/standardized_jpg/sdv5/val/nature/000481.jpg|data/standardized_jpg/sdv5/val/nature/000336.jpg|data/standardized_jpg/sdv5/val/nature/000128.jpg
15,data/standardized_jpg/sdv5/train/nature/001305.jpg|data/standardized_jpg/sdv5/train/nature/001825.jpg
16,data/standardized_jpg/sdv5/train/nature/001649.jpg|data/standardized_jpg/sdv5/train/ai/000224.jpg
17,data/standardized_jpg/sdv5/train/nature/000225.jpg|data/standardized_jpg/sdv5/train/nature/001501.jpg|data/standardized_jpg/sdv5/train/nature/001950.jpg|data/standardized_jpg/sdv5/train/nature/000082.jpg|data/standardized_jpg/sdv5/train/nature/000684.jpg|data/standardized_jpg/sdv5/train/nature/001967.jpg|data/standardized_jpg/sdv5/train/nature/000574.jpg|data/standardized_jpg/sdv5/train/nature/000613.jpg|data/standardized_jpg/sdv5/train/nature/000943.jpg|data/standardized_jpg/sdv5/train/nature/000349.jpg|data/standardized_jpg/sdv5/train/ai/000794.jpg|data/standardized_jpg/sdv5/train/ai/001608.jpg|data/standardized_jpg/sdv5/train/ai/000706.jpg|data/standardized_jpg/sdv5/val/nature/000178.jpg|data/standardized_jpg/sdv5/val/ai/000351.jpg|data/standardized_jpg/sdv5/val/ai/000439.jpg
18,data/standardized_jpg/sdv5/train/nature/001107.jpg|data/standardized_jpg/sdv5/train/ai/001093.jpg|data/standardized_jpg/sdv5/val/nature/000390.jpg
