group_id,paths
0,data/standardized_jpg/vqdm/train/nature/001264.jpg|data/standardized_jpg/vqdm/val/ai/000437.jpg|data/standardized_jpg/vqdm/val/ai/000054.jpg
1,data/standardized_jpg/vqdm/train/nature/000634.jpg|data/standardized_jpg/vqdm/train/nature/000422.jpg
2,data/standardized_jpg/vqdm/train/nature/000620.jpg|data/standardized_jpg/vqdm/train/ai/000126.jpg|data/standardized_jpg/vqdm/train/ai/000732.jpg
3,data/standardized_jpg/vqdm/train/nature/000350.jpg|data/standardized_jpg/vqdm/train/nature/000390.jpg|data/standardized_jpg/vqdm/train/nature/001060.jpg|data/standardized_jpg/vqdm/train/ai/001703.jpg
4,data/standardized_jpg/vqdm/train/nature/000387.jpg|data/standardized_jpg/vqdm/train/ai/001881.jpg
5,data/standardized_jpg/vqdm/train/nature/001099.jpg|data/standardized_jpg/vqdm/train/nature/001378.jpg|data/standardized_jpg/vqdm/train/ai/001781.jpg
6,data/standardized_jpg/vqdm/train/nature/001106.jpg|data/standardized_jpg/vqdm/train/nature/000445.jpg|data/standardized_jpg/vqdm/train/ai/000885.jpg|data/standardized_jpg/vqdm/train/ai/001009.jpg
7,data/standardized_jpg/vqdm/train/nature/001112.jpg|data/standardized_jpg/vqdm/train/ai/000807.jpg
8,data/standardized_jpg/vqdm/train/nature/000556.jpg|data/standardized_jpg/vqdm/train/nature/000369.jpg|data/standardized_jpg/vqdm/train/nature/000638.jpg|data/standardized_jpg/vqdm/train/ai/001289.jpg|data/standardized_jpg/vqdm/train/ai/001301.jpg|data/standardized_jpg/vqdm/train/ai/000455.jpg|data/standardized_jpg/vqdm/train/ai/000326.jpg|data/standardized_jpg/vqdm/train/ai/000332.jpg|data/standardized_jpg/vqdm/train/ai/001360.jpg|data/standardized_jpg/vqdm/train/ai/000281.jpg|data/standardized_jpg/vqdm/train/ai/000882.jpg|data/standardized_jpg/vqdm/train/ai/000607.jpg|data/standardized_jpg/vqdm/val/nature/000475.jpg|data/standardized_jpg/vqdm/val/ai/000124.jpg|data/standardized_jpg/vqdm/val/ai/000487.jpg|data/standardized_jpg/vqdm/val/ai/000135.jpg|data/standardized_jpg/vqdm/val/ai/000139.jpg
9,data/standardized_jpg/vqdm/train/nature/001847.jpg|data/standardized_jpg/vqdm/train/ai/001918.jpg|data/standardized_jpg/vqdm/train/ai/001912.jpg
10,data/standardized_jpg/vqdm/train/nature/000595.jpg|data/standardized_jpg/vqdm/train/nature/001643.jpg|data/standardized_jpg/vqdm/train/ai/000371.jpg
