group_id,paths
0,data/standardized_jpg/wukong/train/nature/000152.jpg|data/standardized_jpg/wukong/train/nature/000488.jpg
1,data/standardized_jpg/wukong/train/nature/000185.jpg|data/standardized_jpg/wukong/train/nature/001106.jpg
2,data/standardized_jpg/wukong/train/nature/001072.jpg|data/standardized_jpg/wukong/train/nature/001600.jpg|data/standardized_jpg/wukong/train/nature/000505.jpg|data/standardized_jpg/wukong/train/nature/000628.jpg|data/standardized_jpg/wukong/train/nature/000216.jpg
3,data/standardized_jpg/wukong/train/nature/001066.jpg|data/standardized_jpg/wukong/train/nature/001822.jpg|data/standardized_jpg/wukong/train/ai/001232.jpg|data/standardized_jpg/wukong/train/ai/001871.jpg|data/standardized_jpg/wukong/val/nature/000351.jpg|data/standardized_jpg/wukong/val/nature/000072.jpg
4,data/standardized_jpg/wukong/train/nature/000218.jpg|data/standardized_jpg/wukong/train/nature/000782.jpg|data/standardized_jpg/wukong/train/nature/001955.jpg
5,data/standardized_jpg/wukong/train/nature/001847.jpg|data/standardized_jpg/wukong/train/nature/001452.jpg
6,data/standardized_jpg/wukong/train/nature/000595.jpg|data/standardized_jpg/wukong/train/nature/000591.jpg|data/standardized_jpg/wukong/train/nature/000910.jpg|data/standardized_jpg/wukong/train/nature/001093.jpg|data/standardized_jpg/wukong/train/nature/001109.jpg|data/standardized_jpg/wukong/train/nature/001484.jpg
7,data/standardized_jpg/wukong/train/nature/001338.jpg|data/standardized_jpg/wukong/train/nature/000612.jpg
8,data/standardized_jpg/wukong/train/nature/000967.jpg|data/standardized_jpg/wukong/train/nature/001658.jpg|data/standardized_jpg/wukong/train/nature/001835.jpg
9,data/standardized_jpg/wukong/train/nature/000797.jpg|data/standardized_jpg/wukong/train/nature/000979.jpg
10,data/standardized_jpg/wukong/train/nature/000966.jpg|data/standardized_jpg/wukong/train/nature/001422.jpg|data/standardized_jpg/wukong/train/nature/001282.jpg|data/standardized_jpg/wukong/train/ai/001264.jpg|data/standardized_jpg/wukong/val/nature/000422.jpg|data/standardized_jpg/wukong/val/ai/000192.jpg
11,data/standardized_jpg/wukong/train/nature/000769.jpg|data/standardized_jpg/wukong/train/nature/001841.jpg|data/standardized_jpg/wukong/train/nature/001277.jpg|data/standardized_jpg/wukong/train/nature/000902.jpg|data/standardized_jpg/wukong/train/nature/001002.jpg|data/standardized_jpg/wukong/train/nature/001758.jpg|data/standardized_jpg/wukong/train/nature/001187.jpg|data/standardized_jpg/wukong/train/nature/001409.jpg|data/standardized_jpg/wukong/train/nature/000477.jpg|data/standardized_jpg/wukong/train/nature/001620.jpg|data/standardized_jpg/wukong/train/nature/001790.jpg|data/standardized_jpg/wukong/train/nature/000006.jpg|data/standardized_jpg/wukong/train/nature/001078.jpg|data/standardized_jpg/wukong/train/nature/001454.jpg|data/standardized_jpg/wukong/train/nature/001326.jpg|data/standardized_jpg/wukong/train/nature/001108.jpg|data/standardized_jpg/wukong/train/ai/001794.jpg|data/standardized_jpg/wukong/val/nature/000378.jpg
12,data/standardized_jpg/wukong/train/nature/001463.jpg|data/standardized_jpg/wukong/train/nature/000169.jpg|data/standardized_jpg/wukong/val/nature/000491.jpg
